,genes,cluster,p_val,avg_logFC,scores,p_val_adj
177,S100A6,5,6.995289331830732e-09,3.642145872116089,5.791037559509277,9.972484471457892e-06
178,TYROBP,5,2.5017767008139435e-08,5.6607747077941895,5.573147296905518,2.559355887780245e-05
179,S100A4,5,2.5133966350254934e-08,3.133779764175415,5.572340488433838,2.559355887780245e-05
180,SAT1,5,4.5041322591305504e-08,5.303786754608154,5.469851493835449,4.01318184288532e-05
181,AIF1,5,6.241273184754687e-08,5.868511199951172,5.411747455596924,4.943088362325712e-05
182,LST1,5,4.603520660270744e-07,7.779225826263428,5.042140960693359,0.00032813895266409866
183,NPC2,5,1.1752888924432574e-06,4.929987907409668,4.8597588539123535,0.0006981216021112949
184,FCER1G,5,3.0942166680585387e-06,6.4272918701171875,4.664464473724365,0.0015878090335576297
185,HLA-DRB1,5,3.118592377919026e-06,4.11638879776001,4.662850379943848,0.0015878090335576297
186,LGALS1,5,3.9724899003411195e-06,4.230186462402344,4.612816333770752,0.0018877272006421
187,HLA-DPA1,5,6.904599023916021e-06,4.438892841339111,4.496608257293701,0.003075998865154587
188,CD74,5,2.645050693187883e-05,3.1603386402130127,4.202053070068359,0.008817778908951048
189,LYZ,5,2.7215367002935332e-05,7.474973678588867,4.195597171783447,0.008817778908951048
190,CST3,5,2.974340627659243e-05,6.958080768585205,4.175422191619873,0.009217869562589166
191,OAZ1,5,3.2151274291322936e-05,2.8202643394470215,4.157668113708496,0.009548928464522913
192,COTL1,5,9.482612814254985e-05,4.027247905731201,3.9034628868103027,0.027036825656003814
193,IFI30,5,0.00010582547024673051,6.503004550933838,3.8768317699432373,0.02901245968918058
194,FCGR3A,5,0.00026299931702687836,4.678030490875244,3.6492576599121094,0.0624886377255863
195,GABARAP,5,0.0003201605954680638,3.6764750480651855,3.598416566848755,0.07361628143536642
196,MYL6,5,0.00033851405153885765,2.7275874614715576,3.583890438079834,0.07540400498028053
197,EIF1,5,0.0004432869290379872,2.514111042022705,3.5128743648529053,0.0902785494337935
198,SERPINA1,5,0.0006761112804840812,31.051124572753906,3.399087429046631,0.13375392266773636
199,AC120057.2,5,0.0013677476998288907,3.75212025642395,3.2013721466064453,0.24647757370605353
200,FCN1,5,0.0019745018620918307,7.969973087310791,3.094041109085083,0.32730812262768766
201,TAGLN,5,0.002062172819703194,7.3218865394592285,3.0811290740966797,0.33407199679191746
202,CYBA,5,0.002322003492396136,2.7202186584472656,3.045620918273926,0.36780535319554797
203,HLA-DPB1,5,0.0033434954460554523,3.138512372970581,2.9342548847198486,0.5070730965847503
204,COX6B1,5,0.0041826753838238116,3.087071418762207,2.8640458583831787,0.5978962421327246
205,EMP3,5,0.004334300731208225,2.6668124198913574,2.852747678756714,0.5978962421327246
206,HLA-DRA,5,0.004445637041671493,3.0746450424194336,2.844677686691284,0.5978962421327246
207,TYMP,5,0.004954508044024218,7.577863693237305,2.809976816177368,0.6539950618111968
208,YWHAB,5,0.00640975483197861,2.196650266647339,2.726048707962036,0.815870222184706
209,PFN1,5,0.006584245050333559,1.8580323457717896,2.7171716690063477,0.8233771705048704
210,FTH1P10,5,0.006829068847257872,5.2834601402282715,2.705066680908203,0.8392690128147261
211,ACTG1,5,0.007064918910838506,1.9071192741394043,2.6937687397003174,0.853537999939947
212,WARS,5,0.007378890809186084,4.928242206573486,2.6792426109313965,0.8766122281313068
213,LILRB2,5,0.010793460958162195,30.446517944335938,2.5493154525756836,0.9993561066013614
214,CAP1,5,0.01148691662464755,2.3965883255004883,2.527526378631592,0.9993561066013614
215,CAPNS1,5,0.011807612247234336,3.8547348976135254,2.5178425312042236,0.9993561066013614
216,IFITM3,5,0.014379788798511997,2.2908148765563965,2.4476335048675537,0.9993561066013614
217,POU2F2,5,0.014606778538287065,3.5658934116363525,2.4419844150543213,0.9993561066013614
218,LYN,5,0.015036723461891313,5.1322550773620605,2.4314932823181152,0.9993561066013614
219,MT-ND5,6,0.012464184189222342,1.591650128364563,2.498722553253174,0.9989877163916776
220,RPL31,6,0.04034161014357837,1.3295128345489502,2.050233840942383,0.9989877163916776
221,S100A4,6,0.0406760700029053,1.4435322284698486,2.046816825866699,0.9989877163916776
222,MT-ATP6,6,0.05300155501484423,1.4482406377792358,1.9349082708358765,0.9989877163916776
223,TCF7,6,0.06160474167634112,2.0122625827789307,1.8691298961639404,0.9989877163916776
224,RPL8,6,0.07119904368538328,1.1710931062698364,1.8042058944702148,0.9989877163916776
225,RPL29,6,0.07146719678244441,1.4750444889068604,1.8024972677230835,0.9989877163916776
226,RPL37A,6,0.07173617696119601,1.3159586191177368,1.8007887601852417,0.9989877163916776
227,SERF2,6,0.08441696124324934,1.264440655708313,1.7256135940551758,0.9989877163916776
228,RPS29,6,0.08801450912793576,1.0346646308898926,1.705965518951416,0.9989877163916776
229,LTB,6,0.08945547642954155,1.3664895296096802,1.6982771158218384,0.9989877163916776
230,RPL15,6,0.08993999932613486,1.0774978399276733,1.6957143545150757,0.9989877163916776
231,SLC25A6,6,0.11362738975216201,1.5521397590637207,1.5820971727371216,0.9989877163916776
232,RAP1B,6,0.11401789127925811,1.7547842264175415,1.5803886651992798,0.9989877163916776
233,CAPZB,6,0.11480206354057866,1.5276516675949097,1.5769715309143066,0.9989877163916776
234,CD3G,6,0.1264433984566123,1.9163159132003784,1.5282784700393677,0.9989877163916776
235,EEF2,6,0.14267083257462823,1.3282517194747925,1.4659172296524048,0.9989877163916776
236,GIMAP7,6,0.14786235506102097,1.546188473701477,1.447123408317566,0.9989877163916776
237,ODF2L,6,0.14786235506102097,2.709380626678467,1.447123408317566,0.9989877163916776
238,TTC14,6,0.14906213445670963,2.686305046081543,1.4428521394729614,0.9989877163916776
239,RPS2P5,6,0.15051166215469078,1.233411431312561,1.4377264976501465,0.9989877163916776
240,SEPTIN6,6,0.15867679094091902,1.9575750827789307,1.4095357656478882,0.9989877163916776
241,DEK,6,0.1627543723550613,2.521697759628296,1.3958675861358643,0.9989877163916776
242,TIMP1,6,0.16482257083069707,2.5007357597351074,1.3890334367752075,0.9989877163916776
243,COX6C,6,0.1669104957299148,1.3430204391479492,1.3821994066238403,0.9989877163916776
244,SHISA5,6,0.17764912053176096,2.364825487136841,1.3480287790298462,0.9989877163916776
245,RPL12,6,0.1801346960593958,1.098699927330017,1.3403403759002686,0.9989877163916776
246,DGKA,6,0.18264601785247359,1.879984736442566,1.3326520919799805,0.9989877163916776
247,MSN,6,0.1843345935717584,1.392256736755371,1.3275264501571655,0.9989877163916776
248,AGAP7P,7,0.0018431872772637272,7.741150856018066,3.11440110206604,0.9978845770662559
249,AGAP10P,7,0.0018431872772637272,7.729168891906738,3.11440110206604,0.9978845770662559
250,AGAP4,7,0.0018431872772637272,7.710724830627441,3.11440110206604,0.9978845770662559
251,AGAP6,7,0.005828344356010718,6.042896270751953,2.7572853565216064,0.9978845770662559
252,TIMM23B-AGAP6,7,0.006593152562331252,5.353305816650391,2.716724157333374,0.9978845770662559
253,AGAP5,7,0.011791392382278188,30.728940963745117,2.5183265209198,0.9978845770662559
254,BMS1P4-AGAP5,7,0.011791392382278188,30.728940963745117,2.5183265209198,0.9978845770662559
255,RPL9P7,7,0.013451257521182109,1.7289953231811523,2.471592903137207,0.9978845770662559
256,AL136982.4,7,0.014094754806750199,6.230415344238281,2.4548394680023193,0.9978845770662559
257,AL136982.1,7,0.014094754806750199,6.230415344238281,2.4548394680023193,0.9978845770662559
258,AGAP11,7,0.014094754806750199,6.230415344238281,2.4548394680023193,0.9978845770662559
259,NPM1,7,0.014479594443921037,2.205559253692627,2.4451398849487305,0.9978845770662559
260,AGAP14P,7,0.030407752598682353,6.841264247894287,2.1647379398345947,0.9978845770662559
261,LTB,7,0.03410008976029593,1.5894874334335327,2.1188862323760986,0.9978845770662559
262,RPL37A,7,0.06419416118398887,1.1106139421463013,1.850829005241394,0.9978845770662559
